Unique Reference Number,Local Authority Code,Local Authority Name,Establishment Number,Establishment Name,Type Of Establishment,Establishment Status,Reason Establishment Opened,Open Date,Reason Establishment Closed,Close Date,Phase Of Education,Statutory Low Age,Statutory High Age,Boarders,Official Sixth Form,Gender,Religious Character,Diocese,Admissions Policy,School Capacity,Special Classes,Census Date,Number Of Pupils,Number Of Boys,Number Of Girls,Percentage Claiming Free School Meals,Trust School,Trust Name,School Sponsored,School Sponsor,Federation,Federation Name,Unique Property Reference Number,Further Higher Education Identifier,Further Education Type,Ofsted Last Inspected,Ofsted Special Measures,Last Changed Date,Street,Locality,Address 3,Town,County,Postcode,Website,Telephone Number,Head Title,Head First Name,Head Last Name,Head Honours,Head Preferred Job Title,Teen Mothers,Teen Mothers Places,Child Care Facilities,Special Education Needs Pupil Referral Unit,Emotional Behavioural Difficulties,Full Time Provision,Education By Other,Section 41 Approved,Special Education Needs 1,Special Education Needs 2,Region,Administrative Ward,Parliamentary Constituency,Urban Rural,GSSLA Code,Easting,Northing,Middle Super Output Area,Lower Super Output Area,Boarding Establishment,Previous Local Authority Code,Previous Local Authority Name,Previous Establishment Number,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
100080,202,Camden,6380,Devonshire House Preparatory School,Other Independent School,Open,Not applicable,25/09/1989,Not applicable,,Not applicable,2,13,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Not collected,581,No Special Classes,16/01/2014,648,370,280,,Not applicable,,Not applicable,,Not applicable,,10018772,,Not applicable,,Not applicable,17/06/2015,2 Arkwright Road,Hampstead,,London,,NW3 6AE,http://www.devonshirehouseschool.co.uk/,2074351916,Mrs,S,Piper,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526456,185413,Camden 004,Camden 004B,,999,,,-0.177458,51.553451,Unknown,24/09/2015,"(51.553451, -0.177458)",75
100397,206,Islington,2015,Ambler Primary School and Children's Centre,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,292,165,125,39.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,28/02/2012,Not in special measures,18/06/2014,Blackstock Road,Finsbury Park,,London,,N4 2DR,,2072264708,Ms,Juliet,Benis,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Highbury West,Islington North,Urban > 10k - less sparse,E09000019,531678,186560,Islington 006,Islington 006B,,999,,,-0.101752,51.562565,Unknown,24/09/2015,"(51.562565, -0.101752)",92
100047,202,Camden,3649,St Eugene de Mazenod Roman Catholic Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,210,No Special Classes,16/01/2014,210,100,110,39.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/12/2010,Not in special measures,18/06/2014,Mazenod Avenue,,,London,,NW6 4LS,http://www.steugene.camden.sch.uk/,2076244837,Miss,Juliette,Jackson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kilburn,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,525360,183998,Camden 020,Camden 020C,,999,,,-0.193761,51.540979,Unknown,24/09/2015,"(51.540979, -0.193761)",45
100022,202,Camden,2507,Richard Cobden Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,459,230,230,36.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,05/12/2008,Not in special measures,18/06/2014,Camden Street,,,London,,NW1 0LL,http://www.rcobden.camden.sch.uk/,2073875909,Mrs,Kathy,Bannon,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Pancras and Somers Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529342,183487,Camden 022,Camden 022A,,999,,,-0.136562,51.535489,Unknown,24/09/2015,"(51.535489, -0.136562)",20
100021,202,Camden,2502,Rhyl Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,432,230,200,49.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/03/2013,Not in special measures,18/06/2014,Rhyl Street,,,London,,NW5 3HB,http://www.rhylprim.camden.sch.uk/htm/fsetie.htm,2074854899,Ms,Helen,Connor,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,London,Haverstock,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528334,184823,Camden 012,Camden 012A,,999,,,-0.1506,51.547725,Unknown,24/09/2015,"(51.547725, -0.1506)",19
100074,202,Camden,6269,North Bridge House Senior School,Other Independent School,Open,Not applicable,03/03/1972,Not applicable,,Not applicable,11,16,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Not collected,280,No Special Classes,16/01/2014,289,180,110,,Not applicable,,Not applicable,,Not applicable,,10007975,,Not applicable,,Not applicable,25/06/2015,65 Rosslyn Hill,,,London,,NW3 5UD,,2072676266,Mrs,G,Masefield,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Hampstead Town,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526640,185531,Camden 002,Camden 002B,Does not have boarders,999,,,-0.174763,51.55447,Unknown,24/09/2015,"(51.55447, -0.174763)",70
100435,206,Islington,2851,Hungerford Primary School and Children's Centre,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,480,250,230,51.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/03/2012,Not in special measures,18/06/2014,Hungerford Road,Islington,,London,,N7 9LF,http://www.hungerfordschool.com,2076074187,Mr,Brian,Bench,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Holloway,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,529995,184974,Islington 010,Islington 010A,,999,,,-0.126604,51.548702,Unknown,24/09/2015,"(51.548702, -0.126604)",112
100088,202,Camden,6393,The Phoenix School,Other Independent School,Open,Not applicable,12/09/1994,Not applicable,,Not applicable,3,7,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Non-selective,124,No Special Classes,16/01/2014,126,75,50,,Not applicable,,Not applicable,,Not applicable,,,,Not applicable,,Not applicable,13/04/2015,36 College Crescent,,,London,,NW3 5LF,,2077224433,Mrs,Lisa,Mason-Jones,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526485,184553,Camden 008,Camden 008C,,999,,,-0.177349,51.545715,Unknown,24/09/2015,"(51.545715, -0.177349)",81
100014,202,Camden,2219,Fleet Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,230,110,120,20.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,02/02/2012,Not in special measures,12/11/2014,Fleet Road,,,London,,NW3 2QT,http://www.fleet.camden.sch.uk/,2074852028,,Blair,Thomson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Gospel Oak,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,527677,185424,Camden 006,Camden 006B,,999,,,-0.159852,51.553275,Unknown,24/09/2015,"(51.553275, -0.159852)",14
100061,202,Camden,6013,St Christopher's School,Other Independent School,Open,Not applicable,01/01/1924,Not applicable,,Not applicable,4,11,No Boarders,Does not have a sixth form,Girls,Inter- / non- denominational,Not applicable,Not collected,270,No Special Classes,16/01/2014,238,0,240,,Not applicable,,Not applicable,,Not applicable,,,,Not applicable,,Not applicable,29/05/2015,32 Belsize Lane,,,London,,NW3 5AE,,2074351521,Mrs,Susan,West,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Hampstead Town,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526978,185153,Camden 008,Camden 008D,Does not have boarders,999,,,-0.170027,51.550997,Unknown,24/09/2015,"(51.550997, -0.170027)",57
100023,202,Camden,2603,Torriano Junior School,Community School,Open,Not applicable,,Not applicable,,Primary,7,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,240,No Special Classes,16/01/2014,238,105,130,33.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,30/03/2009,Not in special measures,12/11/2014,Torriano Avenue,Kentish Town,,London,,NW5 2SJ,http://www.torrianojun.camden.sch.uk/,2074240202,,Helen,Bruckdorfer,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529559,185072,Camden 009,Camden 009E,,999,,,-0.132852,51.549683,Unknown,24/09/2015,"(51.549683, -0.132852)",21
100001,201,City of London,6005,City of London School for Girls,Other Independent School,Open,Not applicable,01/01/1920,Not applicable,,Not applicable,7,18,No Boarders,Has a sixth form,Girls,Church of England,Not applicable,Not collected,734,No Special Classes,16/01/2014,705,0,705,0%,Not applicable,,Not applicable,,Not applicable,,10013279,,Not applicable,,Not applicable,03/03/2015,St Giles' Terrace,Barbican,,London,,EC2Y 8BB,http://www.clsg.org.uk,2078475500,Mrs,Ena,Harrop,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Cripplegate,Cities of London and Westminster,Urban > 10k - less sparse,E09000001,532301,181746,City of London 001,City of London 001B,,999,,,-0.094578,51.519158,Unknown,24/09/2015,"(51.519158, -0.094578)",2
100075,202,Camden,6295,Trevor-Roberts School,Other Independent School,Open,Not applicable,20/12/1977,Not applicable,,Not applicable,4,13,No Boarders,Does not have a sixth form,Mixed,Church of England,Not applicable,Not collected,175,No Special Classes,16/01/2014,173,100,75,,Not applicable,,Not applicable,,Not applicable,,10032215,,Not applicable,,Not applicable,16/01/2015,55-57 Eton Avenue,,,London,,NW3 3ET,,2075861444,Mr,Simon,Trevor-Roberts,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Belsize,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526981,184414,Camden 011,Camden 011B,,999,,,-0.17025,51.544355,Unknown,24/09/2015,"(51.544355, -0.17025)",71
100432,206,Islington,2809,Ashmount Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,382,No Special Classes,16/01/2014,362,175,190,38.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,,Not in special measures,19/09/2014,Crouch Hill Park,83 Crouch Hill,,London,,N8 9EG,http://www.ashmountprimary.co.uk/,2072727145,Mr,Anthony,Carmel,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Hillrise,Islington North,Urban > 10k - less sparse,E09000019,530090,187755,Islington 001,Islington 001A,,999,,,-0.124206,51.573672,Unknown,24/09/2015,"(51.573672, -0.124206)",110
100082,202,Camden,6385,College Francais Bilingue De Londres,Other Independent School,Open,Not applicable,18/02/1992,Not applicable,,Not applicable,5,16,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Not collected,700,No Special Classes,16/01/2014,692,360,330,,Not applicable,,Not applicable,,Not applicable,,10035396,,Not applicable,,Not applicable,06/05/2015,87 Holmes Road,,Kentish Town,London,,NW5 3AX,,2079937400,,M. Francois-Xavier,Gabet,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528672,184981,Camden 007,Camden 007E,,999,,,-0.145671,51.549068,Unknown,24/09/2015,"(51.549068, -0.145671)",77
100068,202,Camden,6174,North Bridge House School,Other Independent School,Open,Not applicable,18/11/1957,Not applicable,,Not applicable,5,7,No Boarders,Does not have a sixth form,Mixed,,Not applicable,Not collected,212,No Special Classes,16/01/2014,205,100,105,,Not applicable,,Not applicable,,Not applicable,,,,Not applicable,,Not applicable,19/06/2015,8 Netherhall Gardens,,,London,,NW3 5RR,,2074352884,Mrs,J,Hockley,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526368,184811,Camden 008,Camden 008C,Does not have boarders,999,,,-0.178942,51.54806,Unknown,24/09/2015,"(51.54806, -0.178942)",64
100405,206,Islington,2251,Gillespie Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,225,No Special Classes,16/01/2014,238,125,110,33.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,01/02/2011,Not in special measures,18/06/2014,Gillespie Road,,,London,,N5 1LH,,2072266840,Mr,Mark,Owen,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Highbury West,Islington North,Urban > 10k - less sparse,E09000019,531802,186280,Islington 006,Islington 006D,,999,,,-0.100069,51.56002,Unknown,24/09/2015,"(51.56002, -0.100069)",96
100429,206,Islington,2666,Yerbury Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,472,235,235,12.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/07/2009,Not in special measures,18/06/2014,Foxham Road,Yerbury Road,,London,,N19 4RR,http://www.yerbury.islington.sch.uk,2072726580,Ms,Cassie,Moss,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Junction,Islington North,Urban > 10k - less sparse,E09000019,529695,186359,Islington 008,Islington 008A,,999,,,-0.130418,51.561217,Unknown,24/09/2015,"(51.561217, -0.130418)",107
100009,202,Camden,2036,Beckford Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,453,215,240,34.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,10/07/2012,Not in special measures,18/06/2014,Dornfell Street,West Hampstead,,London,,NW6 1QL,http://www.beckford.camden.sch.uk/,2074358646,Ms,S,Smith,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,PD - Physical Disability,,London,Fortune Green,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,524888,185067,Camden 005,Camden 005C,,999,,,-0.200185,51.55069,Unknown,24/09/2015,"(51.55069, -0.200185)",9
100060,202,Camden,5950,Children's Hospital School at Gt Ormond Street and UCH,Foundation Special School,Open,Not applicable,,Not applicable,,Not applicable,4,16,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,,Has Special Classes,16/01/2014,164,90,75,,-,,Not applicable,,Not under a federation,,10015430,,Not applicable,25/02/2014,Not in special measures,18/06/2014,Great Ormond Street,Camden,,London,,WC1N 3JH,http://www.gosh.camden.sch.uk,2078138269,Ms,Jayne,Franklin,Npqh,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Hospital School,,London,Holborn and Covent Garden,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,530533,182041,Camden 027,Camden 027A,,999,,,-0.119936,51.52222,Unknown,24/09/2015,"(51.52222, -0.119936)",56
100070,202,Camden,6181,St Anthony's Preparatory School,Other Independent School,Open,Not applicable,01/01/1956,Not applicable,,Not applicable,4,13,No Boarders,Does not have a sixth form,Boys,Roman Catholic,Not applicable,Not collected,310,No Special Classes,16/01/2014,286,285,0,,Not applicable,,Not applicable,,Not applicable,,10018478,,Not applicable,,Not applicable,16/01/2015,90 Fitzjohn's Avenue,Hampstead,,London,,NW3 6NP,,2074353597,Mr,Paul,Keyte,,Headmaster,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Hampstead Town,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526536,185454,Camden 008,Camden 008D,,999,,,-0.17629,51.553801,Unknown,24/09/2015,"(51.553801, -0.17629)",66
100385,206,Islington,1033,Kate Greenaway Nursery School and Children's Centre,LA Nursery School,Open,Not applicable,,Not applicable,,Nursery,3,5,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,,Not applicable,16/01/2014,45,20,25,22.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,12/12/2012,Not in special measures,18/06/2014,Yorkway Court,Copenhagen Street,,London,,N1 0UH,,2075274850,Ms,Fiona,Godfrey,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Caledonian,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,530441,183608,Islington 019,Islington 019D,,999,,,-0.120681,51.536324,Unknown,24/09/2015,"(51.536324, -0.120681)",88
100386,206,Islington,1047,North Islington Nursery School,LA Nursery School,Open,Not applicable,,Not applicable,,Nursery,3,5,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,,Not applicable,16/01/2014,66,25,40,21.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/11/2012,Not in special measures,07/03/2015,110 Tollington Park,,,London,,N4 3RB,,2075274844,Mr,Ian,Senior,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Tollington,Islington North,Urban > 10k - less sparse,E09000019,530859,186986,Islington 003,Islington 003B,,999,,,-0.113402,51.566583,Unknown,24/09/2015,"(51.566583, -0.113402)",89
100096,202,Camden,7205,Swiss Cottage School - Development & Research Centre,Community Special School,Open,Not applicable,,Not applicable,,Not applicable,2,19,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Not applicable,232,Has Special Classes,16/01/2014,230,150,80,59.6%,Not applicable,,Not applicable,,Not under a federation,,10017655,,Not applicable,29/01/2014,Not in special measures,18/06/2014,80 Avenue Road,,,London,,NW8 6HX,http://www.swisscottage.camden.sch.uk,2076818080,Ms,Kay,Bedford,OBE,Principal,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,PD - Physical Disability,,London,Swiss Cottage,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526914,184029,Camden 017,Camden 017C,,999,,,-0.171354,51.54091,Unknown,24/09/2015,"(51.54091, -0.171354)",86
100031,202,Camden,3352,Hampstead Parochial Church of England Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,208,No Special Classes,16/01/2014,203,115,90,8.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,18/06/2012,Not in special measures,18/06/2014,Holly Bush Vale,,,London,,NW3 6TX,http://www.hampsteadprim.camden.sch.uk/,2074354135,Mr,Simon,Atkinson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526301,185733,Camden 004,Camden 004B,,999,,,-0.179577,51.556361,Unknown,24/09/2015,"(51.556361, -0.179577)",29
100064,202,Camden,6017,The Hall School,Other Independent School,Open,Not applicable,01/01/1919,Not applicable,,Not applicable,5,13,No Boarders,Does not have a sixth form,Boys,Church of England,Not applicable,Not collected,470,No Special Classes,16/01/2014,461,460,0,,Not applicable,,Not applicable,,Not applicable,,10018605,,Not applicable,,Not applicable,01/05/2015,23 Crossfield Road,Hampstead,,London,,NW3 4NU,,2077221700,Mr,C,Godwin,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Belsize,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526932,184533,Camden 011,Camden 011B,Does not have boarders,999,,,-0.170913,51.545435,Unknown,24/09/2015,"(51.545435, -0.170913)",60
100055,202,Camden,4652,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Open,Not applicable,,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Comprehensive,917,No Special Classes,16/01/2014,617,45,575,44%,Not applicable,,Not applicable,,Not under a federation,,10004201,,Not applicable,07/03/2013,Not in special measures,18/06/2014,34 Phoenix Road,,,London,,NW1 1TA,http://www.mariafidelis.camden.sch.uk/,2073873856,Mrs,Helen,Gill,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Pancras and Somers Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529666,182953,Camden 022,Camden 022D,,999,,,-0.13209,51.530616,Unknown,24/09/2015,"(51.530616, -0.13209)",53
100010,202,Camden,2065,Brecknock Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,411,No Special Classes,16/01/2014,373,190,180,40.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,19/11/2013,Not in special measures,18/06/2014,Cliff Villas,,,London,,NW1 9AL,http://www.brecknock.camden.sch.uk/,2074856334,Ms,Susan,Ladipo,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Cantelowes,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529912,184835,Camden 015,Camden 015E,,999,,,-0.127851,51.547472,Unknown,24/09/2015,"(51.547472, -0.127851)",10
100062,202,Camden,6014,St Margaret's School,Other Independent School,Open,Not applicable,01/01/1920,Not applicable,,Not applicable,4,16,No Boarders,Does not have a sixth form,Girls,Church of England,,Not collected,156,No Special Classes,16/01/2014,158,0,160,,Not applicable,,Not applicable,,Not applicable,,10017630,,Not applicable,,Not applicable,16/01/2015,18 Kidderpore Gardens,,,London,,NW3 7SR,http://www.st-margarets.co.uk/,2074352439,Mr,Mark,Webster,,Principal,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,525551,185876,Camden 004,Camden 004D,,999,,,-0.190339,51.557814,Unknown,24/09/2015,"(51.557814, -0.190339)",58
